configuration,feature_count,features_used,precision,recall,f1_score,roc_auc,brier_score,false_positive_rate,true_positives,false_positives,true_negatives,false_negatives
Baseline_7_Features,7,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity",0.5,1.0,0.6667,0.53,0.5,1.0,250,250,0,0
7_Plus_Evidence_Diversity,8,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity, evidence_diversity",0.5,1.0,0.6667,0.53,0.5,1.0,250,250,0,0
7_Plus_Case_Cooccurrence,8,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity, case_cooccurrence_count",0.5,1.0,0.6667,0.53,0.5,1.0,250,250,0,0
7_Plus_Bidirectional_Activity,8,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity, bidirectional_activity",0.5,1.0,0.6667,0.6,0.5,1.0,250,250,0,0
7_Plus_Transaction_Volume,8,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity, normalized_transaction_volume",0.5,1.0,0.6667,0.6,0.5,1.0,250,250,0,0
All_11_Features,11,"entity_similarity, text_evidence_strength, relationship_keyword_match, supporting_record_count, source_record_count, relationship_frequency, cross_case_connectivity, evidence_diversity, case_cooccurrence_count, bidirectional_activity, normalized_transaction_volume",0.5,1.0,0.6667,0.6,0.5,1.0,250,250,0,0
