Stage,Model,Test Corpus,Precision,Recall,F1,ROC_AUC,FPR,Brier
Step 22 Baseline,LogReg_7_Baseline,Normal Test (155 pairs),0.9,0.6154,0.731,0.7584,0.2105,0.2054
Step 23 Expanded,LogReg_11_Scaled,Normal Test (155 pairs),1.0,1.0,1.0,1.0,0.0,0.0003
Step 23 Expanded,RandomForest_11,Normal Test (155 pairs),1.0,1.0,1.0,1.0,0.0,0.0176
Step 24 Stress,LogReg_11_Scaled,Step 24 Robustness (500 pairs),0.5,1.0,0.6667,0.6,1.0,0.5
Step 24 Stress,RandomForest_11,Step 24 Robustness (500 pairs),0.6849,1.0,0.813,0.8256,0.46,0.2192
Step 25 Adversarial,Adv_LogReg_11_Scaled,Step 24 Robustness (500 pairs),0.7184,1.0,0.8361,0.8515,0.392,0.1937
Step 25 Adversarial,Adv_RandomForest_11,Step 24 Robustness (500 pairs),0.7937,1.0,0.885,0.952,0.26,0.0894
Step 25 Adversarial,Adv_HistGradientBoosting_11,Step 24 Robustness (500 pairs),0.8333,1.0,0.9091,0.97,0.2,0.0996
Step 25 Adversarial,Adv_Calibrated_RF_11,Step 24 Robustness (500 pairs),0.7937,1.0,0.885,0.9771,0.26,0.0995
